State,Sex,LE,SE,Quartile
United States,Male,74.2,,*
Utah,Male,76.7,0.113,75.5 - 77.6
Vermont,Male,76.1,0.27,75.5 - 77.6
Virginia,Male,75.1,0.07,74.1 - 75.4
Washington,Male,76.9,0.072,75.5 - 77.6
West Virginia,Male,69.8,0.17,68.6 - 72.4
Wisconsin,Male,75.2,0.085,74.1 - 75.4
Wyoming,Male,74,0.275,72.5 - 74.0
Alabama,Female,76.4,0.088,75.2 - 78.2
Alaska,Female,79.2,0.242,78.3 - 79.6
Arizona,Female,79.5,0.072,78.3 - 79.6
Arkansas,Female,76.6,0.116,75.2 - 78.2
California,Female,82,0.029,80.0 - 83.8
Colorado,Female,80.9,0.077,80.0 - 83.8
Connecticut,Female,81.3,0.093,80.0 - 83.8
Delaware,Female,79.5,0.191,78.3 - 79.6
District of Columbia,Female,78.7,0.233,78.3 - 79.6
Florida,Female,80.5,0.042,79.7 - 80.7
Georgia,Female,78.3,0.058,78.3 - 79.6
Hawaii,Female,83.8,0.159,80.0 - 83.8
Idaho,Female,80.8,0.136,80.0 - 83.8
Illinois,Female,79.8,0.052,79.7 - 80.7
Indiana,Female,77.9,0.075,75.2 - 78.2
Iowa,Female,80.1,0.102,79.7 - 80.7
Kansas,Female,79.2,0.112,78.3 - 79.6
Kentucky,Female,76.5,0.094,75.2 - 78.2
Louisiana,Female,76.4,0.093,75.2 - 78.2
Maine,Female,80.7,0.162,79.7 - 80.7
Maryland,Female,79.7,0.076,79.7 - 80.7
Massachusetts,Female,81.5,0.065,80.0 - 83.8
Michigan,Female,78.8,0.062,78.3 - 79.6
Minnesota,Female,81.4,0.074,80.0 - 83.8
Mississippi,Female,75.2,0.118,75.2 - 78.2
Missouri,Female,78.1,0.078,75.2 - 78.2
Montana,Female,79.6,0.193,78.3 - 79.6
Nebraska,Female,80.3,0.131,79.7 - 80.7
Nevada,Female,79.2,0.106,78.3 - 79.6
New Hampshire,Female,81.5,0.153,80.0 - 83.8
New Jersey,Female,80.5,0.059,79.7 - 80.7
New Mexico,Female,77.8,0.145,75.2 - 78.2
New York,Female,80.7,0.04,79.7 - 80.7
North Carolina,Female,79,0.059,78.3 - 79.6
North Dakota,Female,80,0.22,79.7 - 80.7
Ohio,Female,78.1,0.057,75.2 - 78.2
Oklahoma,Female,76.9,0.097,75.2 - 78.2
Oregon,Female,81.3,0.088,80.0 - 83.8
Pennsylvania,Female,79.6,0.052,78.3 - 79.6
Rhode Island,Female,80.9,0.17,80.0 - 83.8
South Carolina,Female,78,0.087,75.2 - 78.2
South Dakota,Female,79.4,0.217,78.3 - 79.6
Tennessee,Female,77,0.074,75.2 - 78.2
Texas,Female,79.3,0.035,78.3 - 79.6
United States,Female,79.9,,*
Utah,Female,80.6,0.105,79.7 - 80.7
Vermont,Female,81.4,0.227,80.0 - 83.8
Virginia,Female,80.1,0.064,79.7 - 80.7
Washington,Female,81.6,0.065,80.0 - 83.8
West Virginia,Female,76.1,0.158,75.2 - 78.2
Wisconsin,Female,80.3,0.078,79.7 - 80.7
Wyoming,Female,78.9,0.259,78.3 - 79.6
